Date,cash
2021-02-11,979997.9858522634
2021-02-12,979796.1285162034
2021-02-16,979307.9306371144
2021-02-17,979431.2741420257
2021-02-18,979233.4885333072
2021-02-19,979187.5730912328
2021-02-22,979188.2469917359
2021-02-23,979499.6092084377
2021-02-24,979380.286669724
2021-02-25,980150.4439140646
2021-02-26,978766.2506886633
2021-03-01,978685.7311585911
2021-03-02,979234.0404955702
2021-03-03,979533.4704872102
2021-03-04,979607.1565559501
2021-03-05,979891.1852823456
2021-03-08,979976.2068384228
2021-03-09,979959.677046252
2021-03-10,980041.5526312292
2021-03-11,980041.5526312292
2021-03-12,979858.5992302725
2021-03-15,979742.5090783967
2021-03-16,979742.5090783967
2021-03-17,979742.5090783967
2021-03-18,980093.3431551459
2021-03-19,979789.6335149176
2021-03-22,980214.0252094585
2021-03-23,979860.507890339
2021-03-24,980045.6918651321
2021-03-25,980249.3140054289
2021-03-26,980249.3140054289
2021-03-29,979942.5308343119
2021-03-30,979942.5308343119
2021-03-31,979617.060179346
2021-04-01,979523.1270990833
2021-04-05,979740.3613695521
2021-04-06,979845.9947575586
2021-04-07,979523.9553991412
2021-04-08,980185.1179062967
2021-04-09,979473.1535001403
2021-04-12,980405.8144055177
2021-04-13,980137.4006982655
2021-04-14,979927.2252913174
2021-04-15,979927.2252913174
2021-04-16,980093.4588690518
2021-04-19,979927.4527300735
2021-04-20,979927.4527300735
2021-04-21,979968.3157299106
2021-04-22,980353.0994538163
2021-04-23,980353.0994538163
2021-04-26,980234.3023223557
2021-04-27,980351.8983726252
2021-04-28,979526.9230663342
2021-04-29,979526.9230663342
2021-04-30,978912.4192588836
2021-05-03,978806.9132432975
2021-05-04,978806.9132432975
2021-05-05,978806.9132432975
2021-05-06,978636.7341867347
2021-05-07,978636.7341867347
2021-05-10,978952.6402790559
2021-05-11,979166.9741403614
2021-05-12,979808.3886818466
2021-05-13,979637.1388688473
2021-05-14,979909.3386616323
2021-05-17,979909.3386616323
2021-05-18,980002.5897483552
2021-05-19,980002.5897483552
2021-05-20,980002.5897483552
2021-05-21,980002.5897483552
2021-05-24,980002.5897483552
2021-05-25,980121.054849374
2021-05-26,979729.3765608897
2021-05-27,980788.6288355093
2021-05-28,980752.5542203056
2021-06-01,980477.8874542507
2021-06-02,980477.8874542507
2021-06-03,980436.7842399384
2021-06-04,979728.8599399666
2021-06-07,979440.5722597112
2021-06-08,979627.1454931496
2021-06-09,979570.5742392726
2021-06-10,979748.189844536
2021-06-11,980010.5262561766
2021-06-14,979613.0626397002
2021-06-15,979613.0626397002
2021-06-16,979834.9890678455
2021-06-17,978945.8691984973
2021-06-18,978904.7930790245
2021-06-21,978691.8876386597
2021-06-22,978477.0701901467
2021-06-23,978994.6622178287
2021-06-24,978872.4188353088
2021-06-25,978480.4422606928
2021-06-28,978496.8190980987
2021-06-29,978496.8190980987
2021-06-30,978331.0731356494
2021-07-01,978777.2297537754
2021-07-02,978494.0761870657
2021-07-06,978494.0761870657
2021-07-07,978494.0761870657
2021-07-08,978728.8142058891
2021-07-09,978715.7166029454
2021-07-12,978546.5982860454
2021-07-13,978546.5982860454
2021-07-14,977909.650921429
2021-07-15,978666.763438987
2021-07-16,978540.3431077419
2021-07-19,978283.8148714299
2021-07-20,978517.9435004233
2021-07-21,978292.5716358557
2021-07-22,978011.5854019123
2021-07-23,978011.5854019123
2021-07-26,978011.5854019123
2021-07-27,978011.5854019123
2021-07-28,978011.5854019123
2021-07-29,978011.5854019123
2021-07-30,977600.3969123786
2021-08-02,978138.6439986065
2021-08-03,977782.0181262166
2021-08-04,978193.0714150436
2021-08-05,978064.0974367379
2021-08-06,977120.9480780817
2021-08-09,976888.7832654807
2021-08-10,976888.7832654807
2021-08-11,975669.8074732833
2021-08-12,975609.2562466494
2021-08-13,974893.6073795373
2021-08-16,974893.6073795373
2021-08-17,974893.6073795373
2021-08-18,975304.8479456444
2021-08-19,974950.9929021355
2021-08-20,974950.9929021355
2021-08-23,974794.8393118103
2021-08-24,974794.8393118103
2021-08-25,974585.0645147229
2021-08-26,974585.0645147229
2021-08-27,974798.1695762629
2021-08-30,974798.1695762629
2021-08-31,974798.1695762629
2021-09-01,974798.1695762629
2021-09-02,974852.6902765398
2021-09-03,974979.2226643215
2021-09-07,974351.982667496
2021-09-08,974225.48677527
2021-09-09,974773.7513814577
2021-09-10,974606.4543460689
2021-09-13,974606.4543460689
2021-09-14,974657.5262061073
2021-09-15,974657.5262061073
2021-09-16,974912.1036344013
2021-09-17,974732.2655355665
2021-09-20,976102.5175964095
2021-09-21,975912.0625048893
2021-09-22,975746.5266961796
2021-09-23,975298.2906430846
2021-09-24,975298.2906430846
2021-09-27,975512.0696710616
2021-09-28,976312.0791004347
2021-09-29,976312.0791004347
2021-09-30,976755.9017683866
2021-10-01,976240.6283750312
2021-10-04,977204.6143484104
2021-10-05,976830.9547389759
2021-10-06,977345.4513242018
2021-10-07,977345.4513242018
